"MessageID","Timestamp","Message","Subject","Sender","To","Cc","ThreadID","AttachmentNames"
"msg-00001","2025-05-23T18:15:42Z","Hello team, audit credit, need updated FA Copperline Foods WC. audit credit applied, total now 373335. Breakdown: 346944 prem, 25862 tax, 129 fee, 400 broker. Down 10%, 6 pays, MEP 35%. Need revised FA. Appreciate your help, Ella Roberts","Revised FA needed - WC Copperline","ella.roberts@ridgebrokers.com","quotes@premfinco.com;ops@premfinco.com;renewals@premfinco.com","accounting@ridgebrokers.com","thread-00001","Worksheet_00001_1.xls"
"msg-00002","2025-05-23T18:54:06Z","Hi finance team, Silver Thread Textiles E&S - premium adjusted, can you update?. Effective 2025-08-25. Revised total 374645 (prem 342369, tax 31567, carrier 459, broker 250). 35% down, 8 installments. MEP 10%. Please revise the finance agreement. Appreciate your help","Updated finance - E&S Silver","david.nguyen@ridgebrokers.com","underwriting@premfinco.com","compliance@ridgebrokers.com;marketing@ridgebrokers.com","thread-00002","LossRuns_00002_1.xls;Schedule_00002_2.xls"
"msg-00003","2025-05-23T19:00:28Z","Hi -, policy renewing 2025-11-08. Monarch Retail Holdings E&S with Southport Re. Expiring FA structure: 35% down, 12 installments. Renewal premium 163548, total 176847 with taxes/fees. MEP 25%. renewal effective soon, need updated FA. UW said rates might change, so numbers could shift. Thanks in advance, Andrew Lang","Renewal terms - E&S Monarch","andrew.lang@ridgebrokers.com","quotes@premfinco.com","teamlead@ridgebrokers.com","thread-00003",""
"msg-00004","2025-05-23T19:31:11Z"," Per our conversation, Good afternoon, policy renewing 2025-10-19. Silver Thread Textiles E&S with Trident Commercial. Expiring FA structure: 10% down, 9 installments. Renewal premium 248084, total 262762 with taxes/fees. MEP 35%. renewal coming, need numbers. Grateful, Andrew Lang","Renewal FA - E&S Silver","andrew.lang@ridgebrokers.com","underwriting@premfinco.com","accounting@ridgebrokers.com","thread-00004","Corrections_00004_1.xlsx;Endorsement_00004_2.xlsx"
"msg-00005","2025-05-23T21:04:47Z"," As discussed, Hello team, can you work up the numbers? for Zenith Bio Labs PROP. Effective 2026-02-16 with Summit Re. Premium 215193, taxes 12061, fees 485, broker fee 250. Total 227989. Client wants 15% down, 9 pays. MEP 20%. See attached deck pages. thx, Raj Kumar I guess","Finance options - PROP Zenith","raj.kumar@ridgebrokers.com","ops@premfinco.com","teamlead@ridgebrokers.com;accounting@ridgebrokers.com","thread-00005",""
"msg-00006","2025-05-23T22:49:55Z"," Following up on yesterday's request. Hi PF, need a quote for FA terms for Metro Parcel Systems CA. Effective 2025-10-21 with Pacific Rim. Premium 261128, taxes 21999, fees 247, broker fee 350. Total 283724. Client wants 18% down, 7 pays. MEP 15%. See attached UW notes. Much appreciated, Chris Anderson See attached tcf.","Finance options - CA Metro","chris.anderson@ridgebrokers.com","renewals@premfinco.com;ops@premfinco.com;underwriting@premfinco.com","accounting@ridgebrokers.com;marketing@ridgebrokers.com;service@ridgebrokers.com","thread-00006","TCF_Doc_00006_1.xls"
"msg-00007","2025-05-23T23:48:28Z"," As discussed, Hello, following up on Horizon Media Group PROP. need the binder back. Effective 2025-12-09, Beacon Lloyds. Appreciate it, Taylor Martinez","Missing docs - PROP Horizon","taylor.martinez@ridgebrokers.com","ops@premfinco.com;renewals@premfinco.com;desk@premfinco.com","marketing@ridgebrokers.com;compliance@ridgebrokers.com;accounting@ridgebrokers.com","thread-00006","TCF_Doc_00007_1.xlsx;DownPaymentReceipt_00007_2.pdf;Finance_Agreement_00007_3.docx"
"msg-00008","2025-05-24T00:15:37Z","Good morning - Everett Logistics E&S limits increased, need new FA. New total 17101 (15125 + 1509 + 317 + 150). 10% down, 10 installments, MEP 30%. Please update the FA. Appreciate your help I think","FA amendment - E&S Everett","jordan.parks@ridgebrokers.com","renewals@premfinco.com","operations@ridgebrokers.com;teamlead@ridgebrokers.com","thread-00006",""
"msg-00009","2025-05-24T05:20:38Z","Hi PF - Prairie Medical Group E&S down payment changed, update FA. New total 269469 (255148 + 13755 + 166 + 400). 15% down, 9 installments, MEP 35%. Please update the FA. Thanks much","FA revision - E&S Prairie","raj.kumar@ridgebrokers.com","service@premfinco.com;renewals@premfinco.com;underwriting@premfinco.com","operations@ridgebrokers.com;accounting@ridgebrokers.com","thread-00006",""
"msg-00010","2025-05-24T08:18:01Z"," As per our call earlier, Hi -, can you check if Titan Industries PROP is financeable? Effective 2026-01-29, carrier Beacon Lloyds. Total premium 247487 (prem 237641, tax 9396, fees 450). Looking for 10% down, 10 pays. MEP 25%. TY, David Nguyen","FA quote needed - PROP Titan","david.nguyen@ridgebrokers.com","underwriting@premfinco.com;quotes@premfinco.com;ops@premfinco.com","teamlead@ridgebrokers.com;operations@ridgebrokers.com;marketing@ridgebrokers.com","thread-00007",""
