"MessageID","Timestamp","Message","Subject","Sender","To","Cc","ThreadID","AttachmentNames"
"msg-0001","2025-06-22T16:39:57Z","Hello, need renewal finance for Monarch Retail Holdings CA Beacon Lloyds effective 2025-09-07. Expiring FA had 10 pays at 15% down, can you mirror unless rates changed? New figures: 22891 prem, 1318 tax, 340 policy fee, broker fee 300 -> total 24849 with MEP 15%. Need docs today if possible so we can bind before 5pm. Regards, Celine Ford","Renewal funding - CA Monarch","celine.ford@ridgebrokers.com","quotes@premfinco.com","marketing@ridgebrokers.com;teamlead@ridgebrokers.com","thread-0001","Worksheet_0001_1.pdf"
"msg-0002","2025-06-22T17:18:21Z","Hey, can you send a new FA on Atlas Fabrication WC? Need financing options for Workers Comp w/ Trident Commercial effective 2025-12-18 kindly. Totals: premium 162300, taxes 12884, carrier fee 219, broker fee 350 (total 175753). Client ok with 25% down (43938) and 10 pays, MEP 10%. Drop amort table when ready, we are lining up bind order. Best, Oscar Vasquez Attachment noted: Schedule_0002_1.pdf","Need FA asap - WC Atlas","oscar.vasquez@ridgebrokers.com","renewals@premfinco.com;desk@premfinco.com","accounting@ridgebrokers.com;teamlead@ridgebrokers.com","thread-0001","Schedule_0002_1.pdf;GL_Quote_0002_2.docx"
"msg-0003","2025-06-22T22:39:52Z","Good morning, can you rework the PFA for Northwind Studio (CA)? New totals now 79543 w/ premium 75994 + taxes 3183 + fees 66 + broker fee 300. Down stays 18% (14317) unless you see better option. MEP needs to go to 30% after carrier pushback. Need corrected FA + new signature blocks pls. Thanks, Andrew Lang thx Attachment noted: MEP_Addendum_0003_1.docx","Rework PFA - CA Northwind","andrew.lang@ridgebrokers.com","renewals@premfinco.com","marketing@ridgebrokers.com","thread-0002","MEP_Addendum_0003_1.docx;CA_Schedule_0003_2.pdf"
"msg-0004","2025-06-23T03:44:53Z","Hey, can you send a new FA on Copperline Foods PROP? Need financing options for Property w/ Sable Mutual effective 2025-12-13 today if possible. Totals: premium 34818, taxes 2374, carrier fee 70, broker fee 250 (total 37512). Client ok with 30% down (11253) and 11 pays, MEP 25%. Drop amort table when ready, we are lining up bind order. Grateful, Ella Roberts","Finance terms needed - PROP Copperline","ella.roberts@ridgebrokers.com","quotes@premfinco.com","teamlead@ridgebrokers.com","thread-0002","LossRuns_0004_1.xlsx"
"msg-0005","2025-06-23T06:42:16Z","Hey, quick follow-up on Summit Storage CA. Still missing fully executed PFA for underwriting file. Effective 2025-08-23 with Linden Excess. Please upload via portal if easier. Thanks, Elena Garcia","Paperwork needed - CA Summit","elena.garcia@ridgebrokers.com","renewals@premfinco.com;desk@premfinco.com","teamlead@ridgebrokers.com","thread-0003","Audit_0005_1.xlsx"
"msg-0006","2025-06-23T07:15:33Z","Hey, need RT calc for Harborview Construction WC. Original financed amount 129901 w/ 20% down. MEP waived so full RT due, pls confirm. Please email me corrected ledger soon. Regards, Andrew Lang Attachment noted: DownPaymentReceipt_0006_1.pdf","Need RT calc - WC Harborview","andrew.lang@ridgebrokers.com","renewals@premfinco.com","service@ridgebrokers.com;marketing@ridgebrokers.com","thread-0004","DownPaymentReceipt_0006_1.pdf"
"msg-0007","2025-06-23T11:46:32Z","Good morning, can you send a new FA on Prairie Medical Group E&S? Need financing options for E&S Package w/ Sable Mutual effective 2025-11-09 need this to bind. Totals: premium 100228, taxes 7296, carrier fee 223, broker fee 300 (total 108047). Client ok with 18% down (19448) and 10 pays, MEP 25%. Please add draft schedule + amort table if you can. thx, Maria Santos","Request new FA - E&S Prairie","maria.santos@ridgebrokers.com","renewals@premfinco.com;desk@premfinco.com","accounting@ridgebrokers.com","thread-0005","InstallmentPlan_0007_1.xlsx"
"msg-0008","2025-06-23T12:44:10Z","Hello, need RT calc for Forge Industrial CA. Original financed amount 187250 w/ 15% down. Need confirmation RT posted before we refund insured. Send revised schedule + statement when ready. Regards, Elena Garcia","RT / cancellation - CA Forge","elena.garcia@ridgebrokers.com","quotes@premfinco.com;ops@premfinco.com","service@ridgebrokers.com;teamlead@ridgebrokers.com","thread-0006","Commission_Statement_0008_1.docx"
"msg-0009","2025-06-24T05:44:16Z","Hey, can you rework the PFA for Harborview Construction (E&S)? New totals now 38039 w/ premium 35277 + taxes 2425 + fees 87 + broker fee 250. Down stays 25% (9509) unless you see better option. RT applied wrong on last version, please fix. Need corrected FA + new signature blocks pls. Thanks, Maria Santos","Rework PFA - E&S Harborview","maria.santos@ridgebrokers.com","renewals@premfinco.com;quotes@premfinco.com","marketing@ridgebrokers.com","thread-0007","Audit_0009_1.xlsx"
"msg-0010","2025-06-24T06:39:43Z","Hi PF team, need renewal finance for Golden Basin Farms E&S Sable Mutual effective 2025-12-08. Expiring FA had 9 pays at 25% down, can you mirror unless rates changed? New figures: 62411 prem, 2776 tax, 361 policy fee, broker fee 150 -> total 65698 with MEP 25%. Need docs today if possible so we can bind before 5pm. Thanks, David Nguyen Attachment noted: CA_Schedule_0010_1.xlsx","Renewal finance needed - E&S Golden","david.nguyen@ridgebrokers.com","renewals@premfinco.com;desk@premfinco.com","service@ridgebrokers.com;accounting@ridgebrokers.com","thread-0008","CA_Schedule_0010_1.xlsx"
